cultivar	flowcell_lane	filename	PlateID	readMappingIds
ZeaSynDH-471.fastq	gbsFlowcell	ZeaSynDH-471.fastq	gbs	1
ZeaSynDH-497.fastq	gbsFlowcell	ZeaSynDH-497.fastq	gbs	2
ZeaSynDH-225.fastq	gbsFlowcell	ZeaSynDH-225.fastq	gbs	3
ZeaSynDH-3514.fastq	gbsFlowcell	ZeaSynDH-3514.fastq	gbs	4
ZeaSynDH-273.fastq	gbsFlowcell	ZeaSynDH-273.fastq	gbs	5
ZeaSynDH-195.fastq	gbsFlowcell	ZeaSynDH-195.fastq	gbs	6
ZeaSynDH-1364.fastq	gbsFlowcell	ZeaSynDH-1364.fastq	gbs	7
ZeaSynDH-61.fastq	gbsFlowcell	ZeaSynDH-61.fastq	gbs	8
ZeaSynDH-82.fastq	gbsFlowcell	ZeaSynDH-82.fastq	gbs	9
ZeaSynDH-70.fastq	gbsFlowcell	ZeaSynDH-70.fastq	gbs	10
ZeaSynDH-635.fastq	gbsFlowcell	ZeaSynDH-635.fastq	gbs	11
ZeaSynDH-2823.fastq	gbsFlowcell	ZeaSynDH-2823.fastq	gbs	12
ZeaSynDH-454.fastq	gbsFlowcell	ZeaSynDH-454.fastq	gbs	13
ZeaSynDH-192.fastq	gbsFlowcell	ZeaSynDH-192.fastq	gbs	14
ZeaSynDH-544.fastq	gbsFlowcell	ZeaSynDH-544.fastq	gbs	15
ZeaSynDH-1462.fastq	gbsFlowcell	ZeaSynDH-1462.fastq	gbs	16
ZeaSynDH-37.fastq	gbsFlowcell	ZeaSynDH-37.fastq	gbs	17
ZeaSynDH-667.fastq	gbsFlowcell	ZeaSynDH-667.fastq	gbs	18
ZeaSynDH-49.fastq	gbsFlowcell	ZeaSynDH-49.fastq	gbs	19
ZeaSynDH-35.fastq	gbsFlowcell	ZeaSynDH-35.fastq	gbs	20
ZeaSynDH-1359.fastq	gbsFlowcell	ZeaSynDH-1359.fastq	gbs	21
ZeaSynDH-431.fastq	gbsFlowcell	ZeaSynDH-431.fastq	gbs	22
