type	sample_name	sample_description	files	chrPhased	genePhased	phasingConf	gvcfServerPath
GVCF	B97	Zea-Syn Founder	B97_anchorwaveFixedHeaders.gvcf.gz	TRUE	TRUE	0.9	localhost;/shares/baxter/users/tkosfeld/working_PHG/phg/inputDir/loadDB/gvcf
GVCF	CML103	Zea-Syn Founder	CML103_anchorwaveFixedHeaders.gvcf.gz	TRUE	TRUE	0.9	localhost;/shares/baxter/users/tkosfeld/working_PHG/phg/inputDir/loadDB/gvcf
GVCF	CML228	Zea-Syn Founder	CML228_anchorwaveFixedHeaders.gvcf.gz	TRUE	TRUE	0.9	localhost;/shares/baxter/users/tkosfeld/working_PHG/phg/inputDir/loadDB/gvcf
GVCF	CML247	Zea-Syn Founder	CML247_anchorwaveFixedHeaders.gvcf.gz	TRUE	TRUE	0.9	localhost;/shares/baxter/users/tkosfeld/working_PHG/phg/inputDir/loadDB/gvcf
GVCF	Ki11	Zea-Syn Founder	Ki11_anchorwaveFixedHeaders.gvcf.gz	TRUE	TRUE	0.9	localhost;/shares/baxter/users/tkosfeld/working_PHG/phg/inputDir/loadDB/gvcf
GVCF	CML277	Zea-Syn Founder	CML277_anchorwaveFixedHeaders.gvcf.gz	TRUE	TRUE	0.9	localhost;/shares/baxter/users/tkosfeld/working_PHG/phg/inputDir/loadDB/gvcf
GVCF	Ki3	Zea-Syn Founder	Ki3_anchorwaveFixedHeaders.gvcf.gz	TRUE	TRUE	0.9	localhost;/shares/baxter/users/tkosfeld/working_PHG/phg/inputDir/loadDB/gvcf
GVCF	CML322	Zea-Syn Founder	CML322_anchorwaveFixedHeaders.gvcf.gz	TRUE	TRUE	0.9	localhost;/shares/baxter/users/tkosfeld/working_PHG/phg/inputDir/loadDB/gvcf
GVCF	Ky21	Zea-Syn Founder	Ky21_anchorwaveFixedHeaders.gvcf.gz	TRUE	TRUE	0.9	localhost;/shares/baxter/users/tkosfeld/working_PHG/phg/inputDir/loadDB/gvcf
GVCF	CML333	Zea-Syn Founder	CML333_anchorwaveFixedHeaders.gvcf.gz	TRUE	TRUE	0.9	localhost;/shares/baxter/users/tkosfeld/working_PHG/phg/inputDir/loadDB/gvcf
GVCF	M162W	Zea-Syn Founder	M162W_anchorwaveFixedHeaders.gvcf.gz	TRUE	TRUE	0.9	localhost;/shares/baxter/users/tkosfeld/working_PHG/phg/inputDir/loadDB/gvcf
