type	sample_name	sample_description	files	chrPhased	genePhased	phasingConf	gvcfServerPath
GVCF	NAM	NAM founders not Tzi8	gatkNAMnotTzi_B73v5_allChr.vcf.gz	TRUE	TRUE	0.9	localhost;/group/jrigrp11/cstark/phg/inputDir/loadDB/gvcf
GVCF	JRIAL3A_pseudo	pseudogenome 1	JRIAL3A_pseudo.gvcf.gz	TRUE	TRUE	0.9	localhost;/group/jrigrp11/cstark/phg/inputDir/loadDB/gvcf
GVCF	JRIAL3B_pseudo	pseudogenome 2	JRIAL3B_pseudo.gvcf.gz	TRUE	TRUE	0.9	localhost;/group/jrigrp11/cstark/phg/inputDir/loadDB/gvcf
GVCF	JRIAL3C_pseudo	pseudogenome 3	JRIAL3C_pseudo.gvcf.gz	TRUE	TRUE	0.9	localhost;/group/jrigrp11/cstark/phg/inputDir/loadDB/gvcf
GVCF	JRIAL3D_pseudo	pseudogenome 4	JRIAL3D_pseudo.gvcf.gz	TRUE	TRUE	0.9	localhost;/group/jrigrp11/cstark/phg/inputDir/loadDB/gvcf
GVCF	JRIAL3E_pseudo	pseudogenome 5	JRIAL3E_pseudo.gvcf.gz	TRUE	TRUE	0.9	localhost;/group/jrigrp11/cstark/phg/inputDir/loadDB/gvcf
GVCF	JRIAL3F_pseudo	pseudogenome 6	JRIAL3F_pseudo.gvcf.gz	TRUE	TRUE	0.9	localhost;/group/jrigrp11/cstark/phg/inputDir/loadDB/gvcf
GVCF	JRIAL3G_pseudo	pseudogenome 7	JRIAL3G_pseudo.gvcf.gz	TRUE	TRUE	0.9	localhost;/group/jrigrp11/cstark/phg/inputDir/loadDB/gvcf
GVCF	JRIAL3H_pseudo	pseudogenome 8	JRIAL3H_pseudo.gvcf.gz	TRUE	TRUE	0.9	localhost;/group/jrigrp11/cstark/phg/inputDir/loadDB/gvcf
GVCF	JRIAL3I_pseudo	pseudogenome 9	JRIAL3I_pseudo.gvcf.gz	TRUE	TRUE	0.9	localhost;/group/jrigrp11/cstark/phg/inputDir/loadDB/gvcf
GVCF	JRIAL3J_pseudo	pseudogenome 10	JRIAL3J_pseudo.gvcf.gz	TRUE	TRUE	0.9	localhost;/group/jrigrp11/cstark/phg/inputDir/loadDB/gvcf
GVCF	JRIAL3K_pseudo	pseudogenome 11	JRIAL3K_pseudo.gvcf.gz	TRUE	TRUE	0.9	localhost;/group/jrigrp11/cstark/phg/inputDir/loadDB/gvcf
#GVCF	Tzi8	Zea-Syn Founder	Tzi8_anchorwaveFixedHeaders.gvcf.gz	TRUE	TRUE	0.9	localhost;/group/jrigrp11/cstark/phg/inputDir/loadDB/gvcf
