SampleName	ReadMappingIds	LikelyParents
ZeaSynDH-471.fastq	1		
ZeaSynDH-497.fastq	2		
ZeaSynDH-225.fastq	3		
ZeaSynDH-3514.fastq	4		
ZeaSynDH-273.fastq	5		
ZeaSynDH-195.fastq	6		
ZeaSynDH-1364.fastq	7		
ZeaSynDH-61.fastq	8		
ZeaSynDH-82.fastq	9		
ZeaSynDH-70.fastq	10		
ZeaSynDH-635.fastq	11		
ZeaSynDH-2823.fastq	12		
ZeaSynDH-454.fastq	13		
ZeaSynDH-192.fastq	14		
ZeaSynDH-544.fastq	15		
ZeaSynDH-1462.fastq	16		
ZeaSynDH-37.fastq	17		
ZeaSynDH-667.fastq	18		
ZeaSynDH-49.fastq	19		
ZeaSynDH-35.fastq	20		
ZeaSynDH-1359.fastq	21		
ZeaSynDH-431.fastq	22		
ZeaSynDH-2401.fastq	23		
ZeaSynDH-836.fastq	24		
ZeaSynDH-491.fastq	25		
ZeaSynDH-204.fastq	26		
ZeaSynDH-138.fastq	27		
ZeaSynDH-1523.fastq	28		
ZeaSynDH-236.fastq	29		
ZeaSynDH-3520.fastq	30		
ZeaSynDH-272.fastq	31		
ZeaSynDH-253.fastq	32		
ZeaSynDH-1677.fastq	33		
ZeaSynDH-3.fastq	34		
ZeaSynDH-169.fastq	35		
ZeaSynDH-1199.fastq	36		
ZeaSynDH-1176.fastq	37		
ZeaSynDH-566.fastq	38		
ZeaSynDH-2056.fastq	39		
ZeaSynDH-524.fastq	40		
ZeaSynDH-436.fastq	41		
ZeaSynDH-3133.fastq	42		
ZeaSynDH-702.fastq	43		
ZeaSynDH-1369.fastq	44		
ZeaSynDH-1055.fastq	45		
ZeaSynDH-318.fastq	46		
ZeaSynDH-1104.fastq	47		
ZeaSynDH-803.fastq	48		
ZeaSynDH-1490.fastq	49		
ZeaSynDH-1086.fastq	50		
ZeaSynDH-215.fastq	51		
ZeaSynDH-1361.fastq	52		
ZeaSynDH-43.fastq	53		
ZeaSynDH-829.fastq	54		
ZeaSynDH-223.fastq	55		
ZeaSynDH-2606.fastq	56		
ZeaSynDH-93.fastq	57		
ZeaSynDH-303.fastq	58		
ZeaSynDH-1208.fastq	59		
ZeaSynDH-124.fastq	60		
ZeaSynDH-416.fastq	61		
ZeaSynDH-133.fastq	62		
ZeaSynDH-97.fastq	63		
ZeaSynDH-2076.fastq	64		
ZeaSynDH-618.fastq	65		
ZeaSynDH-104.fastq	66		
ZeaSynDH-23.fastq	67		
ZeaSynDH-1341.fastq	68		
ZeaSynDH-1211.fastq	69		
ZeaSynDH-135.fastq	70		
ZeaSynDH-1028.fastq	71		
ZeaSynDH-1016.fastq	72		
ZeaSynDH-1181.fastq	73		
ZeaSynDH-2118.fastq	74		
ZeaSynDH-453.fastq	75		
ZeaSynDH-372.fastq	76		
ZeaSynDH-1034.fastq	77		
ZeaSynDH-690.fastq	78		
ZeaSynDH-3585.fastq	79		
ZeaSynDH-485.fastq	80		
ZeaSynDH-147.fastq	81		
ZeaSynDH-1022.fastq	82		
ZeaSynDH-12.fastq	83		
ZeaSynDH-239.fastq	84		
ZeaSynDH-533.fastq	85		
ZeaSynDH-428.fastq	86		
ZeaSynDH-296.fastq	87		
ZeaSynDH-1027.fastq	88		
ZeaSynDH-141.fastq	89		
ZeaSynDH-2627.fastq	90		
ZeaSynDH-386.fastq	91		
ZeaSynDH-1407.fastq	92		
ZeaSynDH-1135.fastq	93		
ZeaSynDH-263.fastq	94		
ZeaSynDH-121.fastq	95		
ZeaSynDH-525.fastq	96		
ZeaSynDH-423.fastq	97		
ZeaSynDH-1095.fastq	98		
ZeaSynDH-1025.fastq	99		
ZeaSynDH-1165.fastq	100		
ZeaSynDH-434.fastq	101		
ZeaSynDH-718.fastq	102		
ZeaSynDH-41.fastq	103		
ZeaSynDH-451.fastq	104		
ZeaSynDH-197.fastq	105		
ZeaSynDH-1092.fastq	106		
ZeaSynDH-1443.fastq	107		
ZeaSynDH-825.fastq	108		
ZeaSynDH-564.fastq	109		
ZeaSynDH-1096.fastq	110		
ZeaSynDH-51.fastq	111		
ZeaSynDH-298.fastq	112		
ZeaSynDH-105.fastq	113		
ZeaSynDH-145.fastq	114		
ZeaSynDH-364.fastq	115		
ZeaSynDH-286.fastq	116		
ZeaSynDH-2.fastq	117		
ZeaSynDH-282.fastq	118		
ZeaSynDH-15.fastq	119		
ZeaSynDH-2444.fastq	120		
ZeaSynDH-265.fastq	121		
ZeaSynDH-183.fastq	122		
ZeaSynDH-324.fastq	123		
ZeaSynDH-2389.fastq	124		
ZeaSynDH-1195.fastq	125		
ZeaSynDH-830.fastq	126		
ZeaSynDH-2050.fastq	127		
ZeaSynDH-701.fastq	128		
ZeaSynDH-1229.fastq	129		
ZeaSynDH-2525.fastq	130		
ZeaSynDH-148.fastq	131		
ZeaSynDH-308.fastq	132		
ZeaSynDH-153.fastq	133		
ZeaSynDH-2089.fastq	134		
ZeaSynDH-3656.fastq	135		
ZeaSynDH-1233.fastq	136		
ZeaSynDH-429.fastq	137		
ZeaSynDH-1656.fastq	138		
ZeaSynDH-1032.fastq	139		
ZeaSynDH-481.fastq	140		
ZeaSynDH-537.fastq	141		
ZeaSynDH-1258.fastq	142		
ZeaSynDH-1455.fastq	143		
ZeaSynDH-98.fastq	144		
ZeaSynDH-511.fastq	145		
ZeaSynDH-2105.fastq	146		
ZeaSynDH-394.fastq	147		
ZeaSynDH-543.fastq	148		
ZeaSynDH-2019.fastq	149		
ZeaSynDH-2320.fastq	150		
ZeaSynDH-2144.fastq	151		
ZeaSynDH-199.fastq	152		
ZeaSynDH-414.fastq	153		
ZeaSynDH-498.fastq	154		
ZeaSynDH-603.fastq	155		
ZeaSynDH-1414.fastq	156		
ZeaSynDH-2676.fastq	157		
ZeaSynDH-1222.fastq	158		
ZeaSynDH-2085.fastq	159		
ZeaSynDH-90.fastq	160		
ZeaSynDH-1038.fastq	161		
ZeaSynDH-128.fastq	162		
ZeaSynDH-67.fastq	163		
ZeaSynDH-1376.fastq	164		
ZeaSynDH-1105.fastq	165		
ZeaSynDH-626.fastq	166		
ZeaSynDH-289.fastq	167		
ZeaSynDH-1078.fastq	168		
ZeaSynDH-1355.fastq	169		
ZeaSynDH-31.fastq	170		
ZeaSynDH-419.fastq	171		
ZeaSynDH-380.fastq	172		
ZeaSynDH-458.fastq	173		
ZeaSynDH-208.fastq	174		
ZeaSynDH-489.fastq	175		
ZeaSynDH-71.fastq	176		
ZeaSynDH-108.fastq	177		
ZeaSynDH-2367.fastq	178		
ZeaSynDH-107.fastq	179		
ZeaSynDH-2099.fastq	180		
ZeaSynDH-800.fastq	181		
ZeaSynDH-3657.fastq	182		
ZeaSynDH-2535.fastq	183		
ZeaSynDH-2972.fastq	184		
ZeaSynDH-3513.fastq	185		
ZeaSynDH-2170.fastq	186		
ZeaSynDH-2511.fastq	187		
ZeaSynDH-3725.fastq	188		
ZeaSynDH-2456.fastq	189		
ZeaSynDH-3073.fastq	190		
ZeaSynDH-1314.fastq	191		
ZeaSynDH-2243.fastq	192		
ZeaSynDH-2160.fastq	193		
ZeaSynDH-3567.fastq	194		
ZeaSynDH-2732.fastq	195		
ZeaSynDH-3680.fastq	196		
ZeaSynDH-1204.fastq	197		
ZeaSynDH-1345.fastq	198		
ZeaSynDH-2061.fastq	199		
ZeaSynDH-3018.fastq	200		
ZeaSynDH-3485.fastq	201		
ZeaSynDH-2589.fastq	202		
ZeaSynDH-2487.fastq	203		
ZeaSynDH-2237.fastq	204		
ZeaSynDH-3777.fastq	205		
ZeaSynDH-2339.fastq	206		
ZeaSynDH-3604.fastq	207		
ZeaSynDH-2461.fastq	208		
ZeaSynDH-3377.fastq	209		
ZeaSynDH-2828.fastq	210		
ZeaSynDH-2880.fastq	211		
ZeaSynDH-2979.fastq	212		
ZeaSynDH-3757.fastq	213		
ZeaSynDH-2294.fastq	214		
ZeaSynDH-3495.fastq	215		
ZeaSynDH-3638.fastq	216		
ZeaSynDH-2067.fastq	217		
ZeaSynDH-2679.fastq	218		
ZeaSynDH-382.fastq	219		
ZeaSynDH-3192.fastq	220		
ZeaSynDH-3601.fastq	221		
ZeaSynDH-2532.fastq	222		
ZeaSynDH-2696.fastq	223		
ZeaSynDH-2633.fastq	224		
ZeaSynDH-3503.fastq	225		
ZeaSynDH-3703.fastq	226		
ZeaSynDH-2850.fastq	227		
ZeaSynDH-3705.fastq	228		
ZeaSynDH-2825.fastq	229		
ZeaSynDH-2562.fastq	230		
ZeaSynDH-2300.fastq	231		
ZeaSynDH-3251.fastq	232		
ZeaSynDH-2838.fastq	233		
ZeaSynDH-2638.fastq	234		
ZeaSynDH-3613.fastq	235		
ZeaSynDH-2259.fastq	236		
ZeaSynDH-2436.fastq	237		
ZeaSynDH-2919.fastq	238		
ZeaSynDH-2551.fastq	239		
ZeaSynDH-2081.fastq	240		
ZeaSynDH-2946.fastq	241		
ZeaSynDH-365.fastq	242		
ZeaSynDH-3594.fastq	243		
ZeaSynDH-2198.fastq	244		
ZeaSynDH-3094.fastq	245		
ZeaSynDH-3252.fastq	246		
ZeaSynDH-2566.fastq	247		
