chr	pos	cm
1	125329	-4.8
1	214369	-4.6
1	341276	-4.4
1	370511	-4.2
1	532547	-3.8
1	603370	-3.6
1	694670	-3.4
1	766656	-3.2
1	843307	-3
1	924796	-2.8
1	1006284	-2.6
1	1188907	-2.2
1	1253202	-2
1	1334704	-1.8
1	1409059	-1.6
1	1506482	-1.4
1	1589899	-1.2
1	1676582	-1
1	1737790	-0.8
1	1844913	-0.6
1	1935369	-0.4
1	2017899	-0.2
1	2263654	1.28E-15
1	2413617	0.2
1	2694699	0.4
1	2930824	0.6
1	3055488	0.8
1	3112050	1
1	3168364	1.2
1	3224351	1.4
1	3280405	1.6
1	3342211	1.8
1	3420881	2.4
1	3580982	2.6
1	3622789	2.8
1	3678249	3
1	3765712	3.2
1	3793050	3.4
1	3821975	3.6
1	3959050	3.8
1	4247126	4.4
1	4360841	4.6
1	4422758	4.8
1	4516085	5
1	4553021	5.2
1	4642077	5.4
1	4693877	5.6
1	4743657	5.8
1	4790796	6
1	4865545	6.2
1	4889802	6.4
1	4939690	6.6
1	4986914	6.8
1	5035612	7
1	5085302	7.2
1	5135008	7.4
1	5303703	8.2
1	5355777	8.4
1	5404608	8.6
1	5452943	8.8
1	5540660	9.2
1	5590757	9.4
1	5648785	9.6
1	5720415	9.8
1	5807732	10
1	5867154	10.2
1	5935217	10.4
1	6008865	10.8
1	6163371	11
1	6228005	11.2
1	6315087	11.4
1	6435506	11.8
1	6533415	12
1	6630114	12.2
1	6731548	12.4
1	6831315	12.6
1	6896646	12.8
1	7033630	13
1	7131575	13.2
1	7237216	13.4
1	7344848	13.6
1	7450023	13.8
1	7567079	14
1	7671920	14.2
1	7780513	14.4
1	7887626	14.6
1	7987132	14.8
1	8092767	15
1	8197822	15.2
1	8307038	15.4
1	8395187	15.6
1	8462251	15.8
1	8532555	16
1	8621235	16.2
1	8702545	16.4
1	8772446	16.6
1	8860091	16.8
1	8942518	17
1	9051073	17.2
1	9133520	17.4
1	9230561	17.6
1	9296983	17.8
1	9318140	18
1	9339297	18.2
1	9360167	18.4
1	9390210	18.6
1	9411374	18.8
1	9432543	19
1	9453610	19.2
1	9476657	19.4
1	9981528	19.8
1	10208648	20
1	10303396	20.2
1	10403346	20.4
1	10508514	20.6
1	10567056	20.8
1	10712860	21
1	10820423	21.2
1	10904627	21.4
1	11000738	21.6
1	11099974	21.8
1	11201601	22
1	11312550	22.2
1	11410565	22.4
1	11614640	22.8
1	11717914	23
1	11821320	23.2
1	11924162	23.4
1	12030055	23.6
1	12126910	23.8
1	12230974	24
1	12338278	24.2
1	12429224	24.4
1	12519343	24.6
1	12621369	24.8
1	12713720	25
1	12795069	25.2
1	12877868	25.4
1	12991257	25.6
1	13055132	25.8
1	13179560	26
1	13364980	26.2
1	13537393	26.8
1	13718699	27.2
1	13808382	27.4
1	13902015	27.6
1	13970568	27.8
1	14073795	28
1	14163993	28.2
1	14317586	28.6
1	14436492	28.8
1	14511051	29
1	14614657	29.2
1	14670135	29.4
1	14903366	29.6
1	15132868	29.8
1	15221896	30
1	15312578	30.2
1	15403241	30.4
1	15491799	30.6
1	15624039	30.8
1	15720483	31
1	15769450	31.2
1	15859549	31.4
1	15960320	31.6
1	16079057	31.8
1	16195537	32
1	16310357	32.2
1	16520485	32.4
1	16677048	32.6
1	16792522	32.8
1	16976138	33
1	17228232	33.2
1	17443795	33.4
1	17734598	33.6
1	17887129	33.8
1	17926818	34
1	18051870	34.2
1	18477489	34.6
1	18692315	34.8
1	18905619	35
1	19131157	35.2
1	19338323	35.4
1	19527190	35.6
1	19760941	35.8
1	20147958	36.2
1	20362066	36.4
1	20807402	36.8
1	20923383	37
1	21198886	37.2
1	21409289	37.4
1	21624167	37.6
1	21742297	37.8
1	21839697	38
1	21936753	38.2
1	22048885	38.4
1	22224324	38.6
1	22441856	39
1	22670824	39.2
1	22926540	39.4
1	23179984	39.6
1	23352552	39.8
1	23562138	40
1	23759293	40.2
1	23902301	40.4
1	24088317	40.6
1	24268649	40.8
1	24457749	41
1	24646415	41.2
1	24844602	41.4
1	25035412	41.6
1	25228266	41.8
1	25695272	42.4
1	25901077	42.6
1	26074829	42.8
1	26198072	43
1	26241114	43.2
1	26486514	43.6
1	26597766	43.8
1	26737562	44.2
1	26955181	44.4
1	27007125	44.6
1	27165407	44.8
1	27234481	45
1	27339848	45.2
1	27448873	45.4
1	27553801	45.6
1	27662048	45.8
1	27770285	46
1	27878785	46.2
1	27952313	46.4
1	28095575	46.6
1	28202399	46.8
1	28312231	47
1	28461712	47.2
1	28651721	47.4
1	28829778	47.6
1	29052854	47.8
1	29248991	48
1	29444341	48.2
1	29646635	48.4
1	29864759	48.6
1	30057811	48.8
1	30199690	49
1	30394698	49.2
1	30569223	49.4
1	30777302	49.6
1	30959661	49.8
1	31160586	50
1	31346621	50.2
1	31541779	50.4
1	31725292	50.6
1	31883342	50.8
1	32071326	51
1	32264617	51.2
1	32465364	51.4
1	32627537	51.6
1	32777202	51.8
1	32878217	52
1	33098731	52.2
1	33250083	52.4
1	33401252	52.6
1	33545649	52.8
1	33686431	53
		
1	33934894	53.4
1	34146830	53.6
1	34605085	53.8
1	34916465	54
1	36155145	54.8
1	36465354	55
1	36788533	55.2
1	37109534	55.4
1	37416245	55.6
1	37734625	55.8
1	38057364	56
1	38405443	56.2
1	38583167	56.4
1	38780812	56.6
1	38948382	56.8
1	39146554	57
1	39408902	57.2
1	39543155	57.4
1	39830494	57.6
1	40005279	57.8
1	40218756	58
1	40390350	58.2
1	40635306	58.4
1	40828349	58.6
1	41031842	58.8
1	41616264	59
1	42095124	59.2
1	42674054	59.4
1	43230680	59.6
1	43616581	59.8
1	43776996	60
1	44007226	60.4
1	44184120	60.6
1	44473607	60.8
1	44746729	61
1	45021703	61.2
1	45312366	61.4
1	45498702	61.6
1	45688737	61.8
1	45831010	62
1	46134737	62.2
1	46428036	62.4
1	46733226	62.6
1	47016510	62.8
1	47336209	63
1	47642297	63.2
1	48292244	63.6
1	48573434	63.8
1	48871144	64
1	49084915	64.2
1	49450625	64.4
1	49812179	64.6
1	50131387	64.8
1	50412059	65
1	50799412	65.2
1	51018924	65.4
1	51221293	65.6
1	51299202	65.8
1	51465212	66
1	51598012	66.2
1	51766043	66.4
1	51929943	66.6
1	52130970	66.8
1	52535583	67.6
1	53264163	68
1	53430252	68.2
1	53603271	68.4
1	53779375	68.6
1	53939486	68.8
1	54477199	69
1	55146349	69.2
1	56192184	69.4
1	56379140	69.6
1	56579297	69.8
1	56798860	70
1	57071030	70.2
1	57420803	70.4
1	57844432	70.6
1	58240803	70.8
1	58606499	71
1	59029497	71.2
1	59456694	71.4
1	59885733	71.6
1	60311046	71.8
1	60694658	72
1	61071032	72.2
1	61612780	72.4
1	62308757	72.6
1	62992050	72.8
1	63679449	73
1	64636999	73.2
1	65114407	73.4
1	65616852	73.6
1	66452032	74
1	67517686	74.4
1	68261320	74.6
1	68652242	74.8
1	69021810	75
1	69391868	75.2
1	69784982	75.4
1	70214331	75.6
1	70916933	76
1	71308200	76.2
1	71695921	76.4
1	72069584	76.6
1	72549558	76.8
1	72864547	77
1	73246909	77.2
1	73624008	77.4
1	74015024	77.6
1	74383254	77.8
		
1	75113049	78.2
1	75522992	78.4
1	75886290	78.6
1	76220378	78.8
1	76603257	79
1	77032082	79.2
1	77405906	79.4
1	77777309	79.6
1	78308458	79.8
1	78951233	80
1	79564741	80.2
1	80924068	80.6
1	81549751	80.8
1	82173152	81
1	82833769	81.2
1	83197955	81.4
1	83558501	81.6
1	83962646	81.8
1	84281025	82
1	84643385	82.2
1	85083422	82.4
1	85510389	82.6
1	85919119	82.8
1	86381495	83
1	86799948	83.2
1	87308614	83.4
1	87726436	83.6
1	88129275	83.8
1	88595332	84
1	89062118	84.2
1	89505623	84.4
1	89817704	84.6
1	90420725	84.8
1	91013059	85
1	91602351	85.2
1	92124023	85.4
1	92701438	85.6
1	93325876	85.8
1	94031900	86
1	94618143	86.2
1	95223915	86.4
1	96335214	86.6
1	97444639	86.8
1	98526850	87
1	101593744	87.4
1	103199042	87.6
1	106211176	88
1	107453659	88.2
1	108991916	88.4
1	112195918	88.6
1	115504020	88.8
1	119591769	89
1	131802594	89.2
1	152179729	89.4
1	153096371	89.6
1	154589024	89.8
1	155980584	90
1	157399264	90.2
1	158899779	90.4
1	160309143	90.6
1	163278387	91
1	164739591	91.2
1	166821307	91.4
		
1	170610635	91.8
1	171247916	92
1	171886667	92.2
1	172525681	92.4
1	173190834	92.6
1	173829528	92.8
1	174456482	93
1	175089200	93.2
1	175699263	93.4
1	176319598	93.6
1	176953922	93.8
1	177574637	94
1	178215398	94.2
1	178840218	94.4
1	179398916	94.6
1	179978413	94.8
1	180526996	95
1	181073993	95.2
1	181639209	95.4
1	182153619	95.6
1	182711793	95.8
1	183253811	96
1	183810991	96.2
1	184287898	96.4
1	184696049	96.6
1	185142185	96.8
1	185533486	97
1	185972727	97.2
1	186401609	97.4
1	186788539	97.6
1	187163156	97.8
1	187528279	98
1	187916503	98.2
1	187962513	98.4
1	188008162	98.6
1	188054174	98.8
1	188100150	99
1	188527460	99.2
1	188803505	99.4
1	189029230	99.6
1	189291111	99.8
1	189522804	100
1	189785281	100.2
1	190031797	100.4
1	190282525	100.6
1	190533452	100.8
1	190781554	101
1	191043259	101.2
1	191300387	101.4
1	191789176	101.8
1	192053857	102
1	192299140	102.2
1	192547644	102.4
1	192671650	102.6
1	193303816	103
1	193534566	103.2
1	193784702	103.4
1	194057212	103.6
1	194287974	103.8
1	194492063	104
1	194769733	104.2
1	195044144	104.4
1	195321075	104.6
1	195567609	104.8
1	195819372	105
1	196074351	105.2
1	196289339	105.4
1	196595899	105.6
1	196842075	105.8
1	197163414	106
1	197407120	106.2
1	197655364	106.4
1	197904323	106.6
1	198156831	106.8
1	198408070	107
1	198661410	107.2
1	198916492	107.4
1	199155878	107.6
1	199370897	107.8
1	199637882	108
1	199885045	108.2
1	200087991	108.4
1	200285285	108.6
1	200485321	108.8
1	200913808	109.2
1	201130425	109.4
1	201332352	109.6
1	201503045	109.8
1	201669809	110
1	201850332	110.2
1	202024601	110.4
1	202204766	110.6
1	202386277	110.8
1	202548349	111
1	202731480	111.2
1	202914020	111.4
1	203069055	111.6
1	203250229	111.8
1	203467488	112
1	203586585	112.2
1	203760470	112.4
1	203935562	112.6
1	204105855	112.8
1	204276289	113
1	204470309	113.2
1	204635219	113.4
1	204813359	113.6
1	204998420	113.8
1	205142545	114
1	205329550	114.2
1	205523762	114.4
1	205698645	114.6
1	205871851	114.8
1	206217696	115
1	206576795	115.2
1	206916914	115.4
1	207424075	115.6
1	208222865	116
1	208918139	116.2
1	209511245	116.4
1	209720567	116.6
1	209913777	116.8
1	210119781	117
1	210326216	117.2
1	210547996	117.4
1	210758339	117.6
1	210967332	117.8
1	211178626	118
1	211393115	118.2
1	211513938	118.4
1	211793757	118.6
1	212003999	118.8
1	212244756	119
1	212428821	119.2
1	212662354	119.4
1	212972253	119.6
1	213188389	119.8
1	213633566	120.2
1	213860242	120.4
1	214400997	120.8
1	214644054	121
1	214882912	121.2
1	215167288	121.4
1	215363459	121.6
1	215596563	121.8
1	215853472	122
1	216097396	122.2
1	216337133	122.4
1	216576302	122.6
1	216823758	122.8
1	217060773	123
1	217318020	123.2
1	217887395	123.8
1	218055783	124
1	218275530	124.2
1	218555456	124.4
1	218789893	124.6
1	219063568	124.8
1	219330327	125
1	219583455	125.2
1	219840706	125.4
1	220095793	125.6
1	220362895	125.8
1	220614437	126
1	220862959	126.2
1	221125493	126.4
1	221309555	126.6
1	221907628	127
1	222161943	127.2
1	222482523	127.4
1	222981105	127.6
1	223514274	127.8
1	223961786	128
1	224465035	128.2
1	224962487	128.4
1	225472066	128.6
1	225989046	128.8
1	226481268	129
1	227313829	129.2
1	227825310	129.4
1	228330190	129.6
1	228720304	130
1	228844850	130.2
1	228965355	130.4
1	229122233	130.6
1	229242829	130.8
1	229363290	131
1	229483180	131.2
1	229601644	131.4
1	229767252	131.6
1	229929229	131.8
1	230108674	132
1	230264364	132.2
1	230442937	132.4
1	230610670	132.6
1	230907950	132.8
1	231328868	133
1	231675182	133.2
1	232090190	133.4
1	232533356	133.6
1	232942589	133.8
1	233161287	134
1	233379343	134.2
1	233603312	134.4
1	233758366	134.6
1	233914475	134.8
1	234069121	135
1	234348806	135.2
1	234713820	135.4
1	235001399	135.6
1	235272793	135.8
1	235532643	136
1	235788198	136.2
1	236047851	136.4
1	236305577	136.6
1	236590281	136.8
1	236862494	137
1	237085685	137.2
1	237423157	137.4
1	237911813	137.6
1	238424963	137.8
1	238933759	138
1	239460307	138.2
1	239976906	138.4
1	240281735	138.6
1	240811903	138.8
1	241334354	139
1	241860149	139.2
1	242318576	139.4
1	242786108	139.6
1	243437959	139.8
1	243959181	140
1	244310565	140.2
1	244992804	140.6
1	245327074	140.8
1	245694103	141
1	246028434	141.2
1	246376557	141.4
1	246722928	141.6
1	247175473	141.8
1	247585147	142
1	248028694	142.2
1	248353899	142.4
1	248768583	142.6
1	249185290	142.8
1	249581052	143
1	249980324	143.2
		
1	251502130	144
1	251897102	144.2
1	252296663	144.4
1	253518348	144.8
1	254622682	145.4
1	254902276	145.6
1	255332818	145.8
1	256726749	146.2
1	257318072	146.4
1	257602069	146.6
1	258203315	147
1	258497339	147.2
1	258801711	147.4
1	259088681	147.6
1	259265840	147.8
1	259333610	148
1	259657397	148.2
1	259927913	149
1	259994305	149.2
1	260062207	149.4
1	260226053	149.6
1	260496196	149.8
1	260763235	150
1	261057047	150.2
1	261274235	150.4
1	261597209	150.6
1	261868045	150.8
1	262144725	151
1	262445106	151.2
1	262756231	151.4
1	263007949	151.6
1	263032583	151.8
1	263377388	152
1	263731072	152.2
1	263965556	152.4
1	264202918	152.6
1	264439366	152.8
1	264646822	153
1	264903170	153.2
1	264994343	153.4
1	265072444	153.6
1	265164453	153.8
1	265260212	154
1	265350544	154.2
1	265441869	154.4
1	265532626	154.6
1	265621638	154.8
1	265724940	155
1	265815270	155.2
1	265913889	155.4
1	266320745	155.6
1	266586831	155.8
1	267019427	156
1	267670627	156.2
1	268826168	156.4
1	269042381	156.6
1	269270191	156.8
1	269477278	157
1	269691773	157.2
