chrom	start	end	sample1	sample2
chr1	1	34116	B73:0	
chr1	34117	40704	B73:0	
chr1	40705	47262	B73:0	
chr1	47263	108053	B73:0	
chr1	108054	114882	B73:0	
chr1	114883	188058	B73:0	
chr1	188059	189886	B73:0	
chr1	189887	199332	B73:0	
chr1	199333	203893	B73:0	
chr1	203894	206118	B73:0	
chr1	206119	210223	B73:0	
chr1	210224	245921	B73:0	
chr1	245922	247742	B73:0	
chr1	247743	314718	B73:0	
chr1	314719	316346	B73:0	
chr1	316347	324806	B73:0	
chr1	324807	327397	B73:0	
chr1	327398	329025	B73:0	
chr1	329026	550333	B73:0	
chr1	550334	565266	B73:0	
chr1	565267	679456	B73:0	
chr1	679457	708516	B73:0	
chr1	708517	1002607	B73:0	
chr1	1002608	1014818	B73:0	
chr1	1014819	1017650	B73:0	
chr1	1017651	1021339	B73:0	
chr1	1021340	1021920	B73:0	
chr1	1021921	1028566	B73:0	
chr1	1028567	1034613	B73:0	
chr1	1034614	1035895	B73:0	
chr1	1035896	1059986	B73:0	
chr1	1059987	1063936	B73:0	
chr1	1063937	1185972	B73:0	
chr1	1185973	1191177	B73:0	
chr1	1191178	1198366	B73:0	
chr1	1198367	1201296	B73:0	
chr1	1201297	1210568	B73:0	
chr1	1210569	1217178	B73:0	
chr1	1217179	1222233	B73:0	
chr1	1222234	1227593	B73:0	
chr1	1227594	1482682	B73:0	
chr1	1482683	1524373	B73:0	
chr1	1524374	1537739	B73:0	
chr1	1537740	1539384	B73:0	
chr1	1539385	1600633	B73:0	
chr1	1600634	1602923	B73:0	
chr1	1602924	1706076	B73:0	
chr1	1706077	1708499	B73:0	
chr1	1708500	1806697	B73:0	
chr1	1806698	1810176	B73:0	
chr1	1810177	1824226	B73:0	
chr1	1824227	1828196	B73:0	
chr1	1828197	1831924	B73:0	
chr1	1831925	1835066	B73:0	
chr1	1835067	1928836	B73:0	
chr1	1928837	1930819	B73:0	
chr1	1930820	1932207	B73:0	
chr1	1932208	1934052	B73:0	
chr1	1934053	2009496	B73:0	
chr1	2009497	2012854	B73:0	
chr1	2012855	2017205	B73:0	
chr1	2017206	2025379	B73:0	
chr1	2025380	2095038	B73:0	
chr1	2095039	2097945	B73:0	
chr1	2097946	2099469	B73:0	
chr1	2099470	2104744	B73:0	
chr1	2104745	2144314	B73:0	
chr1	2144315	2147530	B73:0	
chr1	2147531	2162403	B73:0	
chr1	2162404	2167835	B73:0	
chr1	2167836	2169153	B73:0	
chr1	2169154	2223929	B73:0	
chr1	2223930	2232674	B73:0	
chr1	2232675	2275074	B73:0	
chr1	2275075	2280681	B73:0	
chr1	2280682	2281195	B73:0	
chr1	2281196	2286630	B73:0	
chr1	2286631	2288351	B73:0	
chr1	2288352	2294306	B73:0	
chr1	2294307	2376406	B73:0	
chr1	2376407	2379315	B73:0	
chr1	2379316	2513764	B73:0	
chr1	2513765	2522742	B73:0	
chr1	2522743	2552923	B73:0	
chr1	2552924	2556996	B73:0	
chr1	2556997	2619794	B73:0	
chr1	2619795	2627450	B73:0	
chr1	2627451	2641352	B73:0	
chr1	2641353	2645232	B73:0	
chr1	2645233	2736941	B73:0	
chr1	2736942	2740618	B73:0	
chr1	2740619	2764571	B73:0	
chr1	2764572	2771931	B73:0	
chr1	2771932	2774073	B73:0	
chr1	2774074	2800273	B73:0	
chr1	2800274	2803355	B73:0	
chr1	2803356	2805269	B73:0	
chr1	2805270	2809581	B73:0	
chr1	2809582	2817837	B73:0	
chr1	2817838	2821496	B73:0	
chr1	2821497	2860220	B73:0	
chr1	2860221	2869465	B73:0	
chr1	2869466	2874493	B73:0	
chr1	2874494	2884198	B73:0	
chr1	2884199	2885379	B73:0	
chr1	2885380	2889272	B73:0	
chr1	2889273	2924677	B73:0	
chr1	2924678	2926644	B73:0	
chr1	2926645	2950093	B73:0	
chr1	2950094	2963759	B73:0	
chr1	2963760	2964830	B73:0	
chr1	2964831	2988730	B73:0	
chr1	2988731	2991375	B73:0	
chr1	2991376	3014532	B73:0	
chr1	3014533	3022445	B73:0	
chr1	3022446	3028065	B73:0	
chr1	3028066	3030512	B73:0	
chr1	3030513	3042095	B73:0	
chr1	3042096	3044681	B73:0	
chr1	3044682	3085660	B73:0	
chr1	3085661	3087276	B73:0	
chr1	3087277	3094748	B73:0	
chr1	3094749	3114458	B73:0	
chr1	3114459	3114992	B73:0	
chr1	3114993	3127372	B73:0	
chr1	3127373	3162858	B73:0	
chr1	3162859	3168329	B73:0	
chr1	3168330	3214792	B73:0	
chr1	3214793	3221603	B73:0	
chr1	3221604	3223154	B73:0	
chr1	3223155	3225344	B73:0	
chr1	3225345	3262511	B73:0	
chr1	3262512	3280032	B73:0	
chr1	3280033	3282759	B73:0	
chr1	3282760	3358629	B73:0	
chr1	3358630	3361765	B73:0	
chr1	3361766	3366318	B73:0	
chr1	3366319	3367887	B73:0	
chr1	3367888	3369749	B73:0	
chr1	3369750	3377086	B73:0	
chr1	3377087	3431918	B73:0	
chr1	3431919	3437823	B73:0	
chr1	3437824	3441509	B73:0	
chr1	3441510	3443845	B73:0	
chr1	3443846	3473227	B73:0	
chr1	3473228	3478790	B73:0	
chr1	3478791	3479873	B73:0	
chr1	3479874	3483831	B73:0	
chr1	3483832	3485590	B73:0	
chr1	3485591	3488616	B73:0	
chr1	3488617	3534937	B73:0	
chr1	3534938	3540935	B73:0	
chr1	3540936	3565898	B73:0	
chr1	3565899	3567533	B73:0	
chr1	3567534	3634847	B73:0	
chr1	3634848	3637070	B73:0	
chr1	3637071	3641502	B73:0	
chr1	3641503	3652691	B73:0	
chr1	3652692	3732241	B73:0	
chr1	3732242	3736152	B73:0	
chr1	3736153	3762238	B73:0	
chr1	3762239	3769778	B73:0	
chr1	3769779	3787181	B73:0	
chr1	3787182	3792982	B73:0	
chr1	3792983	3795738	B73:0	
chr1	3795739	3801821	B73:0	
chr1	3801822	3804235	B73:0	
chr1	3804236	3832877	B73:0	
chr1	3832878	3837541	B73:0	
chr1	3837542	3839204	B73:0	
chr1	3839205	3840115	B73:0	
chr1	3840116	3846221	B73:0	
chr1	3846222	3848036	B73:0	
chr1	3848037	3849989	B73:0	
chr1	3849990	3903470	B73:0	
chr1	3903471	3908678	B73:0	
chr1	3908679	3911414	B73:0	
chr1	3911415	3913100	B73:0	
chr1	3913101	3950920	B73:0	
chr1	3950921	3960205	B73:0	
chr1	3960206	3962058	B73:0	
chr1	3962059	3963785	B73:0	
chr1	3963786	3964727	B73:0	
chr1	3964728	3975890	B73:0	
chr1	3975891	3976971	B73:0	
chr1	3976972	3979412	B73:0	
chr1	3979413	3982491	B73:0	
chr1	3982492	3983979	B73:0	
chr1	3983980	3985322	B73:0	
chr1	3985323	4078309	B73:0	
chr1	4078310	4083753	B73:0	
chr1	4083754	4086985	B73:0	
chr1	4086986	4090132	B73:0	
chr1	4090133	4095711	B73:0	
chr1	4095712	4110809	B73:0	
chr1	4110810	4119408	B73:0	
chr1	4119409	4151346	B73:0	
chr1	4151347	4152736	B73:0	
chr1	4152737	4169265	B73:0	
chr1	4169266	4173472	B73:0	
chr1	4173473	4249656	B73:0	
chr1	4249657	4270311	B73:0	
chr1	4270312	4273794	B73:0	
chr1	4273795	4292503	B73:0	
chr1	4292504	4305302	B73:0	
chr1	4305303	4354713	B73:0	
chr1	4354714	4357779	B73:0	
chr1	4357780	4360039	B73:0	
chr1	4360040	4369983	B73:0	
chr1	4369984	4379331	B73:0	
chr1	4379332	4447352	B73:0	
chr1	4447353	4453027	B73:0	
chr1	4453028	4480133	B73:0	
chr1	4480134	4488453	B73:0	
chr1	4488454	4489155	B73:0	
chr1	4489156	4491831	B73:0	
chr1	4491832	4613328	B73:0	
chr1	4613329	4617072	B73:0	
chr1	4617073	4671709	B73:0	
chr1	4671710	4676114	B73:0	
chr1	4676115	4677740	B73:0	
chr1	4677741	4690463	B73:0	
chr1	4690464	4697128	B73:0	
chr1	4697129	4698878	B73:0	
chr1	4698879	4785600	B73:0	
chr1	4785601	4792053	B73:0	
chr1	4792054	4796620	B73:0	
chr1	4796621	4831663	B73:0	
chr1	4831664	4836139	B73:0	
chr1	4836140	4843737	B73:0	
chr1	4843738	4848750	B73:0	
chr1	4848751	4853627	B73:0	
chr1	4853628	4857165	B73:0	
chr1	4857166	4859646	B73:0	
chr1	4859647	4868540	B73:0	
chr1	4868541	4902662	B73:0	
chr1	4902663	4905230	B73:0	
chr1	4905231	4931747	B73:0	
chr1	4931748	4948840	B73:0	
chr1	4948841	5048244	B73:0	
chr1	5048245	5052233	B73:0	
chr1	5052234	5054788	B73:0	
chr1	5054789	5058305	B73:0	
chr1	5058306	5059651	B73:0	
chr1	5059652	5062450	B73:0	
chr1	5062451	5064032	B73:0	
chr1	5064033	5070554	B73:0	
chr1	5070555	5075998	B73:0	
chr1	5075999	5081601	B73:0	
chr1	5081602	5094729	B73:0	
chr1	5094730	5097693	B73:0	
chr1	5097694	5111819	B73:0	
chr1	5111820	5115733	B73:0	
chr1	5115734	5155578	B73:0	
chr1	5155579	5162408	CML69:0	
chr1	5162409	5280931	CML69:0	
chr1	5280932	5285177	CML69:0	
chr1	5285178	5287101	CML69:0	
chr1	5287102	5364741	CML69:0	
chr1	5364742	5367885	CML69:0	
chr1	5367886	5375695	CML69:0	
chr1	5375696	5378036	CML69:0	
chr1	5378037	5384079	CML69:0	
chr1	5384080	5389730	CML69:0	
chr1	5389731	5423273	CML69:0	
chr1	5423274	5431820	CML69:0	
chr1	5431821	5433922	CML69:0	
chr1	5433923	5441430	CML69:0	
chr1	5441431	5444139	CML69:0	
chr1	5444140	5449445	CML69:0	
chr1	5449446	5454511	CML69:0	
chr1	5454512	5471280	CML69:0	
chr1	5471281	5494377	CML69:0	
